apartado,tipo,bien,bien_limpio,cluster,item,cluster_6947,cluster_2275,cluster_1015,cluster_684,cluster_405,cluster_236,cluster_137,cluster_85,cluster_50,cluster_29,cluster_21,cluster_16,cluster_15,cluster_12,cluster_8,cluster_7,cluster_5,cluster_4,cluster_3,cluster_2,cluster_1
Mobiliario,Mobiliario,SILLON EJECUTIVO RESPALDO MEDIO COLOR NEGRO. ND 13/2002. ALTA 02 AGOSTO 2002,sillon ejecutivo respaldo medio color negro nd alta agosto,4,sillon,4330,1875,432,16,195,77,16,4,0,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,PINTARRON 60X90 (ALTA 20 ENE 1999 MARCA ALFRA).,pintarron x alta ene marca alfra,0,pintarron,5720,706,131,263,106,7,4,70,1,1,0,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,"MONITOR DE COLOR HP DE 15"", N.D. 017/2002 ALTA 07 OCTUBRE 2002",monitor color hp nd alta octubre,4,monitor,6304,1651,12,218,43,176,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,"CESTO DE BASURA ALUMINIO N.D. 007/2005, ALTA 31 AGOSTO 2005",cesto basura aluminio nd alta agosto,0,cesto,6657,736,28,235,235,235,65,32,0,0,2,0,1,0,1,0,0,0,0,0,0
Transporte,Transporte,"AUTOMOVIL FORD ESCORT 1998, PLACAS: HZG1129, NO. SERIE: 3FABP1136WR109452, NO. MOTOR: S/N, NO. ECONÓ",automovil ford escort placas hzg serie fabpwr motor sn econó,0,automovil,5818,373,487,243,243,5,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"TRITURADORA DE DOCUMENTOS. ALTA 13 SEP 2006, N.D. 07/2006",trituradora documentos alta sep nd,0,trituradora,1110,1651,12,218,43,176,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,SILLON P/SALA RECEPCION.(SILLON FIJO III PLAZAS TELA VERDE) ALTA 04 FEB 2002 N.D. 005/2002,sillon psala recepcionsillon fijo iii plaza tela verde alta feb nd,0,sillon,4485,2242,966,482,99,37,16,4,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,REGULADOR TDE S/N: 16030085976,regulador tde sn,0,regulador,5542,1919,289,289,289,144,3,33,16,6,14,14,14,0,1,0,0,0,0,0,0
Equipo,Equipo,IDENTIFICADOR DE LLAMADAS,identificador llamadas,0,identificador,1318,1318,29,84,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,MESA PARA IMPRESORA CON MEDIDA DE .80 DE FRENTE X .50 DE ANCHO X .75 DE ALTURA CON PUERTAS SIN CERRA,mesa impresora medida frente x ancho x altura puertas cerra,0,mesa,4192,169,146,590,97,97,0,15,9,4,4,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,"TELEFONO CORDLESS DECT/GAT HANSET-MOBILE 100 REFLEXES FOR OFFICE USE, DELIVERED, WITHOUT CHARGER",telefono cordless dectgat hansetmobile reflex for office use delivered without charger,0,telefono,5377,1657,486,486,242,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,"PEDESTAL SUSPENDIDO CON 1 CAJON PAPELERO,1 CAJON PARA INST. EN LATERALES, EN ESQUINERO, EN 2 GRAPAS",pedestal suspendido cajon papelero cajon inst laterales esquinero grapas,0,pedestal,6302,1748,618,226,44,180,62,70,1,1,0,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,FAX TELEFONO,fax telefono,0,fax,888,1275,349,349,349,174,20,42,2,3,3,3,3,3,3,0,0,0,0,0,0
Equipo,Equipo,"COMPUTADORA COMPLETA CON QUEMADORCPU MULTIMEDIA CON QUEMADOR 530 KINCLUYE: MONITOR, TECLADO Y MO",computadora completa quemadorcpu multimedia quemador kincluye monitor teclado mo,1,computadora,5825,1999,328,328,123,123,30,19,1,1,0,2,2,2,0,1,1,0,0,0,0
Mobiliario,Mobiliario,ARCHIVERO HORIZONTAL DE 3 GAVETAS,archivero horizontal gavetas,0,archivero,232,378,355,41,338,32,62,70,1,1,0,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,C.P.U. PENTIUM,cpu pentium,1,cpu,1397,326,654,654,61,61,123,29,10,12,1,4,4,4,2,2,2,2,2,0,0
Mobiliario,Mobiliario,"ESCRITORIO EJECUTIVO DE MADERA C/5 CAJONES DE .80X1.77 S/M, S/M, S/N. SERIE",escritorio ejecutivo madera c cajones x sm sm sn serie,0,escritorio,6222,690,690,4,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,ESCRITORIO GRAPA 1.26 CMS. BERLIN CAOBA,escritorio grapa cm berlin caoba,3,escritorio,6228,100,808,68,73,76,4,70,1,1,0,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,"EXTINGUIDOR, MARCA ANSUL SENTRY, MODELO 435, S/N SERIE",extinguidor marca ansul sentry modelo sn serie,0,extinguidor,5767,5,61,498,248,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"PANEL DE TONOS, INSTALADO EN EL EDIFICIO CULTURAL Y ADMINISTRATIVO",panel tonos instalado edificio cultural administrativo,0,panel,4913,350,333,333,176,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"ANTENA DIPOLOS OMNI DIRECCIONAL, INSTALADA EN EL CERRO DEL CUATRO",antena dipolos omni direccional instalada cerro cuatro,0,antena,4206,1003,571,571,285,142,13,6,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"VIDEO CASETERA, FORMATO VHS DE 4 CABEZAS",video casetera formato vhs cabezas,0,video,6167,457,221,443,221,221,41,41,20,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,SILLA SECRETARIAL CON RODAJAS Y CODERAS,silla secretarial rodajas coderas,0,silla,1342,235,716,357,357,175,87,1,8,8,8,8,8,8,0,1,1,0,0,0,0
Mobiliario,Mobiliario,"MESA MULTIUSOS, MEDIDAS DE 40X60X68, CON CAJON",mesa multiusos medidas xx cajon,0,mesa,3633,937,937,371,371,16,0,15,9,4,4,2,2,2,0,1,1,0,0,0,0
Mobiliario,Mobiliario,"COCINA INTEGRAL EN ESCUADRA, MEDIDAS DE 2.50 MTS. CUENTA CON 11 CAJONES, ESTADIO JALISCO",cocina integral escuadra medidas mt cuenta cajones estadio jalisco,0,cocina,5988,519,303,192,95,7,4,70,1,1,0,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,ESTEREO CON DOS BOCINAS,estereo do bocinas,0,estereo,295,1475,441,294,294,146,61,61,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,VIDEOCASETERA DE 6 CABEZAS,videocasetera cabezas,0,videocasetera,1318,1318,29,84,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
